iter	MultiClass
0	1.602143629
1	1.321071187
2	1.130888436
3	0.9940103637
4	0.878112144
5	0.7808245466
6	0.7047394787
7	0.639988583
8	0.5834312991
9	0.5302251453
10	0.4853082446
11	0.4459427486
12	0.409767621
13	0.3786930583
14	0.3491496905
15	0.3242754567
16	0.3003062986
17	0.2799874831
18	0.2620508615
19	0.2446085264
20	0.2294997439
21	0.2156954656
22	0.2033225848
23	0.1933248253
24	0.1832119206
25	0.1731756022
26	0.1652300998
27	0.1584741301
28	0.1512287171
29	0.1445196931
30	0.1387409993
31	0.1337888431
32	0.1288247976
33	0.1231811504
34	0.1185579249
35	0.1141633576
36	0.1105070239
37	0.107064639
38	0.1032134481
39	0.09939375809
40	0.09699647301
41	0.09445057967
42	0.09118492933
43	0.08930416555
44	0.08669137917
45	0.08353606012
46	0.08147579458
47	0.07906472067
48	0.07691971614
49	0.07500487382
50	0.07297211894
51	0.07133732558
52	0.06906428213
53	0.06703064328
54	0.06531396864
55	0.06417995816
56	0.06232524721
57	0.06096303457
58	0.06002915914
59	0.05919099042
60	0.05796954849
61	0.05677858461
62	0.05585674362
63	0.05485083426
64	0.05385510131
65	0.05282299042
66	0.05190477788
67	0.05093860316
68	0.05012603798
69	0.04964185172
70	0.0485471166
71	0.04778915788
72	0.04694816514
73	0.0464886256
74	0.04563383233
75	0.04461573562
76	0.04385357362
77	0.04325932086
78	0.04230590937
79	0.04179039961
80	0.04118074911
81	0.04030333004
82	0.03976809574
83	0.03920768666
84	0.03867664629
85	0.03820589131
86	0.03773969075
87	0.03708865578
88	0.03673411161
89	0.03630131414
90	0.03563961203
91	0.03538111567
92	0.0349681109
93	0.03476910165
94	0.0341867122
95	0.03354685417
96	0.03327096118
97	0.03285838277
98	0.0324740258
99	0.03195044885
100	0.03145108703
101	0.03109300635
102	0.0306924327
103	0.03033971075
104	0.02982286147
105	0.02948670966
106	0.02921315836
107	0.02905300497
108	0.0287836723
109	0.02855087767
110	0.02823847778
111	0.0277531434
112	0.02744367887
113	0.02721449319
114	0.02701424146
115	0.02680351252
116	0.02653096072
117	0.02622214075
118	0.02601245906
119	0.02574533668
120	0.02541950193
121	0.02509099253
122	0.02494505541
123	0.02466618819
124	0.02442462745
125	0.02412292878
126	0.02391002787
127	0.02367610285
128	0.0234623124
129	0.02319791016
130	0.02299956613
131	0.02284035033
132	0.02271850899
133	0.02255852645
134	0.02246795337
135	0.0223785643
136	0.02216691618
137	0.02197466338
138	0.02182430976
139	0.02171486264
140	0.02151173941
141	0.02130438985
142	0.021071893
